Date,T_mean,Irradiance (W/m^2),"Declination Angle (δ, deg)","Noon Solar Altitude Angle (α, deg)","Noon Solar Azimuth Angle (γ, deg)","Latitude (L, deg)",Daily GHI (kWh/m^2/day)
2024-01-01,26.8,682.27,-23.01,38.38,-0.09,28.61,3.93
2024-01-02,23.7,683.49,-22.93,38.46,-0.17,28.61,3.94
2024-01-03,25.4,684.81,-22.84,38.55,-0.26,28.61,3.95
2024-01-04,28.5,686.24,-22.75,38.64,-0.34,28.61,3.96
2024-01-05,28.5,687.76,-22.65,38.74,-0.43,28.61,3.97
2024-01-06,28.3,689.38,-22.54,38.85,-0.52,28.61,3.98
2024-01-07,25.7,691.1,-22.42,38.97,-0.6,28.61,4.0
2024-01-08,26.5,692.92,-22.3,39.09,-0.69,28.61,4.01
2024-01-09,27.4,694.83,-22.17,39.22,-0.77,28.61,4.02
2024-01-10,27.5,696.84,-22.04,39.35,-0.86,28.61,4.04
2024-01-11,29.35,698.94,-21.9,39.49,-0.94,28.61,4.05
2024-01-12,30.35,701.13,-21.75,39.64,-1.03,28.61,4.07
2024-01-13,31.2,703.41,-21.6,39.79,-1.11,28.61,4.09
2024-01-14,30.35,705.78,-21.44,39.95,-1.19,28.61,4.1
2024-01-15,26.9,708.24,-21.27,40.12,-1.28,28.61,4.12
2024-01-16,30.0,710.78,-21.1,40.29,-1.36,28.61,4.14
2024-01-17,30.5,713.41,-20.92,40.47,-1.44,28.61,4.16
2024-01-18,31.0,716.13,-20.73,40.66,-1.52,28.61,4.18
2024-01-19,31.75,718.92,-20.54,40.85,-1.61,28.61,4.2
2024-01-20,31.35,721.8,-20.34,41.05,-1.69,28.61,4.22
2024-01-21,30.6,724.76,-20.14,41.25,-1.77,28.61,4.24
2024-01-22,29.9,727.79,-19.93,41.46,-1.85,28.61,4.27
2024-01-23,30.1,730.9,-19.71,41.68,-1.93,28.61,4.29
2024-01-24,27.9,734.08,-19.49,41.9,-2.01,28.61,4.31
2024-01-25,28.75,737.33,-19.26,42.13,-2.09,28.61,4.34
2024-01-26,30.5,740.65,-19.03,42.36,-2.16,28.61,4.36
2024-01-27,31.6,744.04,-18.79,42.6,-2.24,28.61,4.39
2024-01-28,30.75,747.49,-18.55,42.84,-2.32,28.61,4.41
2024-01-29,30.5,751.01,-18.3,43.09,-2.39,28.61,4.44
2024-01-30,30.25,754.59,-18.04,43.35,-2.47,28.61,4.46
2024-01-31,17.5,758.23,-17.78,43.61,-2.54,28.61,4.49
2024-02-01,17.3,761.93,-17.52,43.87,-2.62,28.61,4.52
2024-02-02,17.1,765.68,-17.25,44.14,-2.69,28.61,4.55
2024-02-03,16.9,769.49,-16.97,44.42,-2.76,28.61,4.57
2024-02-04,16.7,773.35,-16.69,44.7,-2.83,28.61,4.6
2024-02-05,16.5,777.25,-16.4,44.99,-2.9,28.61,4.63
2024-02-06,16.3,781.2,-16.11,45.28,-2.97,28.61,4.66
2024-02-07,16.1,785.2,-15.82,45.57,-3.04,28.61,4.69
2024-02-08,15.9,789.24,-15.52,45.87,-3.11,28.61,4.72
2024-02-09,15.7,793.32,-15.21,46.18,-3.18,28.61,4.75
2024-02-10,15.5,797.43,-14.9,46.49,-3.24,28.61,4.78
2024-02-11,15.3,801.58,-14.59,46.8,-3.31,28.61,4.82
2024-02-12,15.1,805.76,-14.27,47.12,-3.37,28.61,4.85
2024-02-13,14.9,809.98,-13.95,47.44,-3.44,28.61,4.88
2024-02-14,14.7,814.22,-13.62,47.77,-3.5,28.61,4.91
2024-02-15,14.5,818.48,-13.29,48.1,-3.56,28.61,4.94
2024-02-16,14.3,822.77,-12.95,48.44,-3.62,28.61,4.97
2024-02-17,14.1,827.08,-12.62,48.77,-3.68,28.61,5.01
2024-02-18,13.9,831.41,-12.27,49.12,-3.73,28.61,5.04
2024-02-19,13.7,835.76,-11.93,49.46,-3.79,28.61,5.07
2024-02-20,13.5,840.11,-11.58,49.81,-3.85,28.61,5.11
2024-02-21,13.3,844.48,-11.23,50.16,-3.9,28.61,5.14
2024-02-22,13.1,848.86,-10.87,50.52,-3.95,28.61,5.17
2024-02-23,16.9,853.24,-10.51,50.88,-4.01,28.61,5.21
2024-02-24,16.55,857.63,-10.15,51.24,-4.06,28.61,5.24
2024-02-25,16.45,862.02,-9.78,51.61,-4.11,28.61,5.27
2024-02-26,18.45,866.41,-9.41,51.98,-4.16,28.61,5.31
2024-02-27,18.65,870.8,-9.04,52.35,-4.2,28.61,5.34
2024-02-28,18.05,875.18,-8.67,52.72,-4.25,28.61,5.38
2024-02-29,18.45,879.55,-8.29,53.1,-4.29,28.61,5.41
2024-03-01,19.2,883.91,-7.91,53.48,-4.34,28.61,5.14
2024-03-02,22.3,888.27,-7.53,53.86,-4.38,28.61,5.17
2024-03-03,19.45,892.6,-7.15,54.24,-4.42,28.61,5.2
2024-03-04,17.85,896.92,-6.76,54.63,-4.46,28.61,5.24
2024-03-05,16.95,901.23,-6.38,55.01,-4.5,28.61,5.27
2024-03-06,16.2,905.51,-5.99,55.4,-4.54,28.61,5.3
2024-03-07,16.2,909.77,-5.6,55.79,-4.57,28.61,5.33
2024-03-08,18.0,914.0,-5.2,56.19,-4.6,28.61,5.36
2024-03-09,18.7,918.21,-4.81,56.58,-4.64,28.61,5.39
2024-03-10,18.45,922.39,-4.41,56.98,-4.67,28.61,5.42
2024-03-11,20.85,926.54,-4.02,57.37,-4.7,28.61,5.45
2024-03-12,22.8,930.66,-3.62,57.77,-4.73,28.61,5.49
2024-03-13,21.95,934.74,-3.22,58.17,-4.76,28.61,5.52
2024-03-14,23.0,938.79,-2.82,58.57,-4.78,28.61,5.55
2024-03-15,22.15,942.8,-2.42,58.97,-4.81,28.61,5.58
2024-03-16,19.4,946.77,-2.02,59.37,-4.83,28.61,5.61
2024-03-17,21.1,950.7,-1.61,59.78,-4.85,28.61,5.64
2024-03-18,21.5,954.58,-1.21,60.18,-4.87,28.61,5.67
2024-03-19,21.4,958.43,-0.81,60.58,-4.89,28.61,5.69
2024-03-20,22.5,962.23,-0.4,60.99,-4.91,28.61,5.72
2024-03-21,25.0,965.98,-0.0,61.39,-4.92,28.61,5.75
2024-03-22,24.05,969.68,0.4,61.79,-4.94,28.61,5.78
2024-03-23,24.4,973.34,0.81,62.2,-4.95,28.61,5.81
2024-03-24,25.5,976.94,1.21,62.6,-4.96,28.61,5.84
2024-03-25,22.8,980.49,1.61,63.0,-4.97,28.61,5.86
2024-03-26,25.45,983.99,2.02,63.41,-4.98,28.61,5.89
2024-03-27,27.0,987.44,2.42,63.81,-4.99,28.61,5.92
2024-03-28,29.1,990.83,2.82,64.21,-4.99,28.61,5.94
2024-03-29,28.75,994.17,3.22,64.61,-5.0,28.61,5.97
2024-03-30,29.8,997.45,3.62,65.01,-5.0,28.61,6.0
2024-03-31,28.25,1000.67,4.02,65.41,-5.0,28.61,6.02
2024-04-01,26.8,1003.84,4.41,65.8,-5.0,28.61,6.05
2024-04-02,23.7,1006.94,4.81,66.2,-5.0,28.61,6.07
2024-04-03,25.4,1009.99,5.2,66.59,-4.99,28.61,6.1
2024-04-04,28.5,1012.98,5.6,66.99,-4.99,28.61,6.12
2024-04-05,28.5,1015.91,5.99,67.38,-4.98,28.61,6.14
2024-04-06,28.3,1018.77,6.38,67.77,-4.98,28.61,6.17
2024-04-07,25.7,1021.58,6.76,68.15,-4.97,28.61,6.19
2024-04-08,26.5,1024.33,7.15,68.54,-4.96,28.61,6.21
2024-04-09,27.4,1027.01,7.53,68.92,-4.94,28.61,6.23
2024-04-10,27.5,1029.64,7.91,69.3,-4.93,28.61,6.26
2024-04-11,29.35,1032.2,8.29,69.68,-4.91,28.61,6.28
2024-04-12,30.35,1034.7,8.67,70.06,-4.9,28.61,6.3
2024-04-13,31.2,1037.14,9.04,70.43,-4.88,28.61,6.32
2024-04-14,30.35,1039.52,9.41,70.8,-4.86,28.61,6.34
2024-04-15,26.9,1041.84,9.78,71.17,-4.84,28.61,6.36
2024-04-16,30.0,1044.1,10.15,71.54,-4.82,28.61,6.38
2024-04-19,31.75,1050.51,11.23,72.62,-4.74,28.61,6.43
2024-04-20,31.35,1052.52,11.58,72.97,-4.71,28.61,6.45
2024-04-21,30.6,1054.48,11.93,73.32,-4.68,28.61,6.46
2024-04-22,29.9,1056.38,12.27,73.66,-4.65,28.61,6.48
2024-04-23,30.1,1058.23,12.62,74.01,-4.62,28.61,6.5
2024-04-24,27.9,1060.01,12.95,74.34,-4.59,28.61,6.51
2024-04-25,28.75,1061.74,13.29,74.68,-4.55,28.61,6.53
2024-04-26,30.5,1063.41,13.62,75.01,-4.52,28.61,6.54
2024-04-27,31.6,1065.03,13.95,75.34,-4.48,28.61,6.56
2024-04-28,30.75,1066.59,14.27,75.66,-4.44,28.61,6.57
2024-04-29,30.5,1068.1,14.59,75.98,-4.4,28.61,6.59
2024-04-30,30.25,1069.56,14.9,76.29,-4.36,28.61,6.6
2024-05-01,28.75,1070.96,15.21,76.6,-4.32,28.61,6.61
2024-05-02,26.5,1072.32,15.52,76.91,-4.27,28.61,6.63
2024-05-03,26.9,1073.62,15.82,77.21,-4.23,28.61,6.64
2024-05-04,30.65,1074.87,16.11,77.5,-4.18,28.61,6.65
2024-05-05,31.5,1076.08,16.4,77.79,-4.13,28.61,6.66
2024-05-06,32.75,1077.24,16.69,78.08,-4.08,28.61,6.67
2024-05-07,32.45,1078.35,16.97,78.36,-4.03,28.61,6.68
2024-05-08,34.75,1079.42,17.25,78.64,-3.98,28.61,6.69
2024-05-09,32.1,1080.44,17.52,78.91,-3.93,28.61,6.7
2024-05-10,33.25,1081.42,17.78,79.17,-3.87,28.61,6.71
2024-05-11,31.95,1082.36,18.04,79.43,-3.82,28.61,6.72
2024-05-12,32.25,1083.26,18.3,79.69,-3.76,28.61,6.73
2024-05-13,33.65,1084.12,18.55,79.94,-3.71,28.61,6.74
2024-05-14,32.05,1084.93,18.79,80.18,-3.65,28.61,6.75
2024-05-15,31.75,1085.72,19.03,80.42,-3.59,28.61,6.76
2024-05-16,33.0,1086.46,19.26,80.65,-3.53,28.61,6.77
2024-05-17,33.95,1087.17,19.49,80.88,-3.47,28.61,6.77
2024-05-18,35.35,1087.84,19.71,81.1,-3.4,28.61,6.78
2024-05-19,35.95,1088.48,19.93,81.32,-3.34,28.61,6.79
2024-05-20,36.8,1089.09,20.14,81.53,-3.28,28.61,6.79
2024-05-21,37.4,1089.67,20.34,81.73,-3.21,28.61,6.8
2024-05-22,36.65,1090.22,20.54,81.93,-3.14,28.61,6.81
2024-05-23,37.0,1090.73,20.73,82.12,-3.08,28.61,6.81
2024-05-24,35.9,1091.22,20.92,82.31,-3.01,28.61,6.82
2024-05-25,36.15,1091.69,21.1,82.49,-2.94,28.61,6.82
2024-05-26,35.2,1092.12,21.27,82.66,-2.87,28.61,6.83
2024-05-27,37.3,1092.53,21.44,82.83,-2.8,28.61,6.83
2024-05-28,36.25,1092.92,21.6,82.99,-2.73,28.61,6.84
2024-05-29,37.6,1093.28,21.75,83.14,-2.65,28.61,6.84
2024-05-30,38.6,1093.62,21.9,83.29,-2.58,28.61,6.85
2024-05-31,37.3,1093.94,22.04,83.43,-2.51,28.61,6.85
2024-06-01,38.0,1094.24,22.17,83.56,-2.43,28.61,5.65
2024-06-02,37.3,1094.52,22.3,83.69,-2.36,28.61,5.65
2024-06-03,36.5,1094.77,22.42,83.81,-2.28,28.61,5.65
2024-06-04,37.55,1095.01,22.54,83.93,-2.2,28.61,5.65
2024-06-05,37.4,1095.24,22.65,84.04,-2.13,28.61,5.66
2024-06-06,34.3,1095.44,22.75,84.14,-2.05,28.61,5.66
2024-06-07,34.6,1095.63,22.84,84.23,-1.97,28.61,5.66
2024-06-08,36.5,1095.8,22.93,84.32,-1.89,28.61,5.66
2024-06-09,34.2,1095.96,23.01,84.4,-1.81,28.61,5.66
2024-06-10,35.55,1096.1,23.09,84.48,-1.73,28.61,5.67
2024-06-11,35.7,1096.22,23.15,84.54,-1.65,28.61,5.67
2024-06-12,36.15,1096.33,23.21,84.6,-1.57,28.61,5.67
2024-06-13,37.05,1096.43,23.27,84.66,-1.48,28.61,5.67
2024-06-14,39.05,1096.52,23.31,84.7,-1.4,28.61,5.67
2024-06-15,38.2,1096.59,23.35,84.74,-1.32,28.61,5.67
2024-06-16,38.9,1096.65,23.39,84.78,-1.24,28.61,5.67
2024-06-17,38.95,1096.7,23.41,84.8,-1.15,28.61,5.67
2024-06-18,39.5,1096.73,23.43,84.82,-1.07,28.61,5.67
2024-06-19,39.4,1096.75,23.44,84.83,-0.98,28.61,5.67
2024-06-20,39.0,1096.76,23.45,84.84,-0.9,28.61,5.67
2024-06-21,38.5,1096.76,23.45,84.84,-0.81,28.61,5.67
2024-06-22,38.0,1096.74,23.44,84.83,-0.73,28.61,5.67
2024-06-23,37.5,1096.71,23.42,84.81,-0.64,28.61,5.67
2024-06-24,37.0,1096.67,23.4,84.79,-0.56,28.61,5.67
2024-06-25,36.5,1096.62,23.37,84.76,-0.47,28.61,5.67
2024-06-26,36.0,1096.56,23.34,84.73,-0.39,28.61,5.67
2024-06-27,35.5,1096.48,23.29,84.68,-0.3,28.61,5.67
2024-06-28,35.0,1096.39,23.24,84.63,-0.22,28.61,5.67
2024-06-29,34.5,1096.28,23.18,84.57,-0.13,28.61,5.67
2024-06-30,34.0,1096.16,23.12,84.51,-0.04,28.61,5.67
2024-07-01,33.5,1096.03,23.05,84.44,0.04,28.61,5.66
2024-07-02,33.0,1095.88,22.97,84.36,0.13,28.61,5.66
2024-07-03,32.5,1095.72,22.89,84.28,0.22,28.61,5.66
2024-07-04,32.0,1095.54,22.8,84.19,0.3,28.61,5.66
2024-07-05,31.5,1095.34,22.7,84.09,0.39,28.61,5.66
2024-07-06,31.0,1095.13,22.59,83.98,0.47,28.61,5.65
2024-07-07,30.5,1094.9,22.48,83.87,0.56,28.61,5.65
2024-07-08,30.0,1094.65,22.36,83.75,0.64,28.61,5.65
2024-07-09,29.5,1094.38,22.24,83.63,0.73,28.61,5.65
2024-07-10,29.0,1094.09,22.11,83.5,0.81,28.61,5.64
2024-07-11,28.5,1093.78,21.97,83.36,0.9,28.61,5.64
2024-07-12,28.0,1093.46,21.83,83.22,0.98,28.61,5.64
2024-07-13,27.5,1093.1,21.67,83.06,1.07,28.61,5.63
2024-07-14,27.0,1092.73,21.52,82.91,1.15,28.61,5.63
2024-07-15,27.8,1092.33,21.35,82.74,1.24,28.61,5.63
2024-07-16,27.8,1091.91,21.18,82.57,1.32,28.61,5.62
2024-07-17,27.8,1091.46,21.01,82.4,1.4,28.61,5.62
2024-07-18,27.8,1090.98,20.82,82.21,1.48,28.61,5.61
2024-07-19,27.8,1090.48,20.64,82.03,1.57,28.61,5.61
2024-07-20,27.8,1089.95,20.44,81.83,1.65,28.61,5.6
2024-07-21,27.8,1089.38,20.24,81.63,1.73,28.61,5.6
2024-07-22,27.8,1088.79,20.03,81.42,1.81,28.61,5.59
2024-07-23,27.8,1088.17,19.82,81.21,1.89,28.61,5.59
2024-07-24,27.8,1087.51,19.6,80.99,1.97,28.61,5.58
2024-07-25,27.8,1086.82,19.38,80.77,2.05,28.61,5.57
2024-07-26,27.8,1086.09,19.15,80.54,2.13,28.61,5.57
2024-07-27,27.8,1085.33,18.91,80.3,2.2,28.61,5.56
2024-07-28,27.8,1084.53,18.67,80.06,2.28,28.61,5.56
2024-07-29,27.8,1083.69,18.42,79.81,2.36,28.61,5.55
2024-07-30,27.8,1082.81,18.17,79.56,2.43,28.61,5.54
2024-07-31,27.8,1081.9,17.91,79.3,2.51,28.61,5.53
2024-08-01,27.8,1080.94,17.65,79.04,2.58,28.61,5.53
2024-08-02,27.8,1079.94,17.38,78.77,2.65,28.61,5.52
2024-08-03,27.8,1078.89,17.11,78.5,2.73,28.61,5.51
2024-08-04,27.8,1077.8,16.83,78.22,2.8,28.61,5.5
2024-08-05,27.8,1076.66,16.55,77.94,2.87,28.61,5.49
2024-08-06,27.8,1075.48,16.26,77.65,2.94,28.61,5.48
2024-08-07,27.8,1074.25,15.96,77.35,3.01,28.61,5.47
2024-08-08,27.8,1072.97,15.67,77.06,3.08,28.61,5.46
2024-08-09,27.8,1071.65,15.36,76.75,3.14,28.61,5.45
2024-08-10,27.8,1070.27,15.06,76.45,3.21,28.61,5.44
2024-08-11,27.8,1068.84,14.74,76.13,3.28,28.61,5.43
2024-08-12,27.8,1067.35,14.43,75.82,3.34,28.61,5.42
2024-08-13,27.8,1065.82,14.11,75.5,3.4,28.61,5.41
2024-08-14,27.8,1064.23,13.78,75.17,3.47,28.61,5.4
2024-08-15,27.8,1062.58,13.45,74.84,3.53,28.61,5.38
2024-08-16,27.8,1060.88,13.12,74.51,3.59,28.61,5.37
2024-08-17,27.8,1059.13,12.79,74.18,3.65,28.61,5.36
2024-08-18,27.8,1057.31,12.45,73.84,3.71,28.61,5.34
2024-08-19,27.8,1055.44,12.1,73.49,3.76,28.61,5.33
2024-08-20,27.8,1053.51,11.75,73.14,3.82,28.61,5.32
2024-08-21,27.8,1051.52,11.4,72.79,3.87,28.61,5.3
2024-08-22,27.8,1049.48,11.05,72.44,3.93,28.61,5.29
2024-08-23,27.8,1047.37,10.69,72.08,3.98,28.61,5.27
2024-08-24,27.8,1045.2,10.33,71.72,4.03,28.61,5.26
2024-08-25,27.8,1042.98,9.97,71.36,4.08,28.61,5.24
2024-08-26,27.8,1040.69,9.6,70.99,4.13,28.61,5.23
2024-08-27,27.8,1038.34,9.23,70.62,4.18,28.61,5.21
2024-08-28,27.8,1035.93,8.86,70.25,4.23,28.61,5.19
2024-08-29,27.8,1033.46,8.48,69.87,4.27,28.61,5.18
2024-08-30,27.8,1030.93,8.1,69.49,4.32,28.61,5.16
2024-08-31,27.8,1028.33,7.72,69.11,4.36,28.61,5.14
2024-09-01,27.8,1025.68,7.34,68.73,4.4,28.61,5.12
2024-09-02,27.8,1022.96,6.96,68.35,4.44,28.61,5.11
2024-09-03,27.8,1020.19,6.57,67.96,4.48,28.61,5.09
2024-09-04,27.8,1017.35,6.18,67.57,4.52,28.61,5.07
2024-09-05,27.8,1014.45,5.79,67.18,4.55,28.61,5.05
2024-09-06,27.8,1011.49,5.4,66.79,4.59,28.61,5.03
2024-09-07,27.8,1008.47,5.01,66.4,4.62,28.61,5.01
2024-09-08,27.8,1005.4,4.61,66.0,4.65,28.61,4.99
2024-09-09,27.8,1002.26,4.22,65.61,4.68,28.61,4.97
2024-09-10,27.8,999.07,3.82,65.21,4.71,28.61,4.95
2024-09-11,27.8,995.81,3.42,64.81,4.74,28.61,4.93
2024-09-12,27.8,992.51,3.02,64.41,4.77,28.61,4.91
2024-09-13,27.8,989.14,2.62,64.01,4.79,28.61,4.88
2024-09-14,27.8,985.72,2.22,63.61,4.82,28.61,4.86
2024-09-15,27.8,982.25,1.81,63.2,4.84,28.61,4.84
2024-09-16,27.8,978.72,1.41,62.8,4.86,28.61,4.82
2024-09-17,27.8,975.14,1.01,62.4,4.88,28.61,4.8
2024-09-18,27.8,971.52,0.61,62.0,4.9,28.61,4.77
2024-09-19,27.8,967.84,0.2,61.59,4.91,28.61,4.75
2024-09-20,27.8,964.11,-0.2,61.19,4.93,28.61,4.73
2024-09-21,27.8,960.33,-0.61,60.78,4.94,28.61,4.7
2024-09-22,27.8,956.51,-1.01,60.38,4.96,28.61,4.68
2024-09-23,27.8,952.65,-1.41,59.98,4.97,28.61,4.65
2024-09-24,27.8,948.74,-1.81,59.58,4.98,28.61,4.63
2024-09-25,27.8,944.79,-2.22,59.17,4.98,28.61,4.6
2024-09-26,27.8,940.8,-2.62,58.77,4.99,28.61,4.58
2024-09-27,27.8,936.77,-3.02,58.37,4.99,28.61,4.56
2024-09-28,27.8,932.7,-3.42,57.97,5.0,28.61,4.53
2024-09-29,27.8,928.6,-3.82,57.57,5.0,28.61,4.5
2024-09-30,27.8,924.47,-4.22,57.17,5.0,28.61,4.48
2024-10-01,25.4,920.31,-4.61,56.78,5.0,28.61,5.73
2024-10-02,25.4,916.11,-5.01,56.38,5.0,28.61,5.69
2024-10-03,25.4,911.89,-5.4,55.99,4.99,28.61,5.66
2024-10-04,25.4,907.64,-5.79,55.6,4.99,28.61,5.63
2024-10-05,25.4,903.37,-6.18,55.21,4.98,28.61,5.59
2024-10-06,25.4,899.08,-6.57,54.82,4.97,28.61,5.56
2024-10-07,25.4,894.77,-6.96,54.43,4.96,28.61,5.53
2024-10-08,25.4,890.44,-7.34,54.05,4.95,28.61,5.49
2024-10-09,25.4,886.09,-7.72,53.67,4.94,28.61,5.46
2024-10-10,25.4,881.73,-8.1,53.29,4.92,28.61,5.43
2024-10-11,25.4,877.37,-8.48,52.91,4.91,28.61,5.39
2024-10-12,25.4,872.99,-8.86,52.53,4.89,28.61,5.36
2024-10-13,25.4,868.6,-9.23,52.16,4.87,28.61,5.32
2024-10-14,25.4,864.22,-9.6,51.79,4.85,28.61,5.29
2024-10-15,25.4,859.83,-9.97,51.42,4.83,28.61,5.26
2024-10-16,25.4,855.44,-10.33,51.06,4.81,28.61,5.22
2024-10-17,25.4,851.05,-10.69,50.7,4.78,28.61,5.19
2024-10-18,25.4,846.67,-11.05,50.34,4.76,28.61,5.16
2024-10-19,25.4,842.3,-11.4,49.99,4.73,28.61,5.12
2024-10-20,25.4,837.93,-11.75,49.64,4.7,28.61,5.09
2024-10-21,25.4,833.58,-12.1,49.29,4.67,28.61,5.06
2024-10-22,25.4,829.25,-12.45,48.94,4.64,28.61,5.02
2024-10-23,25.4,824.93,-12.79,48.6,4.6,28.61,4.99
2024-10-24,25.4,820.63,-13.12,48.27,4.57,28.61,4.96
2024-10-25,25.4,816.35,-13.45,47.94,4.54,28.61,4.93
2024-10-26,25.4,812.09,-13.78,47.61,4.5,28.61,4.89
2024-10-27,25.4,807.87,-14.11,47.28,4.46,28.61,4.86
2024-10-28,25.4,803.67,-14.43,46.96,4.42,28.61,4.83
2024-10-29,25.4,799.5,-14.74,46.65,4.38,28.61,4.8
2024-10-30,25.4,795.37,-15.06,46.33,4.34,28.61,4.77
2024-10-31,25.4,791.27,-15.36,46.03,4.29,28.61,4.74
2024-11-01,20.5,787.21,-15.67,45.72,4.25,28.61,4.71
2024-11-02,20.5,783.2,-15.96,45.43,4.2,28.61,4.68
2024-11-03,20.5,779.22,-16.26,45.13,4.16,28.61,4.65
2024-11-04,20.5,775.29,-16.55,44.84,4.11,28.61,4.62
2024-11-05,20.5,771.41,-16.83,44.56,4.06,28.61,4.59
2024-11-06,20.5,767.58,-17.11,44.28,4.01,28.61,4.56
2024-11-07,20.5,763.8,-17.38,44.01,3.95,28.61,4.53
2024-11-08,20.5,760.07,-17.65,43.74,3.9,28.61,4.5
2024-11-09,20.5,756.41,-17.91,43.48,3.85,28.61,4.48
2024-11-10,20.5,752.8,-18.17,43.22,3.79,28.61,4.45
2024-11-11,20.5,749.25,-18.42,42.97,3.73,28.61,4.42
2024-11-12,20.5,745.76,-18.67,42.72,3.68,28.61,4.4
2024-11-13,20.5,742.34,-18.91,42.48,3.62,28.61,4.37
2024-11-14,20.5,738.98,-19.15,42.24,3.56,28.61,4.35
2024-11-15,20.5,735.69,-19.38,42.01,3.5,28.61,4.32
2024-11-16,20.5,732.48,-19.6,41.79,3.44,28.61,4.3
2024-11-17,20.5,729.33,-19.82,41.57,3.37,28.61,4.28
2024-11-18,20.5,726.26,-20.03,41.36,3.31,28.61,4.25
2024-11-19,20.5,723.27,-20.24,41.15,3.24,28.61,4.23
2024-11-20,20.5,720.35,-20.44,40.95,3.18,28.61,4.21
2024-11-21,20.5,717.52,-20.64,40.75,3.11,28.61,4.19
2024-11-22,20.5,714.76,-20.82,40.57,3.04,28.61,4.17
2024-11-23,20.5,712.09,-21.01,40.38,2.97,28.61,4.15
2024-11-24,20.5,709.5,-21.18,40.21,2.9,28.61,4.13
2024-11-25,20.5,707.0,-21.35,40.04,2.83,28.61,4.11
2024-11-26,20.5,704.58,-21.52,39.87,2.76,28.61,4.09
2024-11-27,20.5,702.26,-21.67,39.72,2.69,28.61,4.08
2024-11-28,20.5,700.02,-21.83,39.56,2.62,28.61,4.06
2024-11-29,20.5,697.87,-21.97,39.42,2.54,28.61,4.05
2024-11-30,20.5,695.82,-22.11,39.28,2.47,28.61,4.03
2024-12-01,15.4,693.86,-22.24,39.15,2.39,28.61,4.02
2024-12-02,15.4,692.0,-22.36,39.03,2.32,28.61,4.0
2024-12-03,15.4,690.23,-22.48,38.91,2.24,28.61,3.99
2024-12-04,15.4,688.56,-22.59,38.8,2.16,28.61,3.98
2024-12-05,15.4,686.99,-22.7,38.69,2.09,28.61,3.97
2024-12-06,15.4,685.51,-22.8,38.59,2.01,28.61,3.95
2024-12-07,15.4,684.14,-22.89,38.5,1.93,28.61,3.94
2024-12-08,15.4,682.87,-22.97,38.42,1.85,28.61,3.94
2024-12-09,15.4,681.69,-23.05,38.34,1.77,28.61,3.93
2024-12-10,15.4,680.62,-23.12,38.27,1.69,28.61,3.92
2024-12-11,15.4,679.66,-23.18,38.21,1.61,28.61,3.91
2024-12-12,15.4,678.79,-23.24,38.15,1.52,28.61,3.91
2024-12-13,15.4,678.03,-23.29,38.1,1.44,28.61,3.9
2024-12-14,15.4,677.37,-23.34,38.05,1.36,28.61,3.89
2024-12-15,15.4,676.82,-23.37,38.02,1.28,28.61,3.89
2024-12-16,15.4,676.37,-23.4,37.99,1.19,28.61,3.89
2024-12-17,15.4,676.03,-23.42,37.97,1.11,28.61,3.89
2024-12-18,15.4,675.79,-23.44,37.95,1.03,28.61,3.88
2024-12-19,15.4,675.66,-23.45,37.94,0.94,28.61,3.88
2024-12-20,15.4,675.64,-23.45,37.94,0.86,28.61,3.88
2024-12-21,15.4,675.71,-23.44,37.95,0.77,28.61,3.88
2024-12-22,15.4,675.9,-23.43,37.96,0.69,28.61,3.88
2024-12-23,15.4,676.19,-23.41,37.98,0.6,28.61,3.89
2024-12-24,15.4,676.58,-23.39,38.0,0.52,28.61,3.89
2024-12-25,15.4,677.08,-23.35,38.04,0.43,28.61,3.89
2024-12-26,15.4,677.69,-23.31,38.08,0.34,28.61,3.9
2024-12-27,15.4,678.4,-23.27,38.12,0.26,28.61,3.9
2024-12-28,15.4,679.21,-23.21,38.18,0.17,28.61,3.91
2024-12-29,15.4,680.13,-23.15,38.24,0.09,28.61,3.92
2024-12-30,15.4,681.15,-23.09,38.3,0.0,28.61,3.92
2024-12-31,15.4,682.27,-23.01,38.38,-0.09,28.61,3.93
